date,station,id,count
2020-01-01,Z001,Z001_3,6745
2020-01-02,Z001,Z001_4,6908
2020-01-03,Z001,Z001_5,10035
2020-01-04,Z001,Z001_6,8987
2020-01-05,Z001,Z001_7,9075
2020-01-06,Z001,Z001_1,12939
2020-01-07,Z001,Z001_2,13777
2020-01-08,Z001,Z001_3,14341
2020-01-09,Z001,Z001_4,14659
2020-01-10,Z001,Z001_5,15203
2020-01-11,Z001,Z001_6,11401
2020-01-12,Z001,Z001_7,9976
2020-01-13,Z001,Z001_1,14402
2020-01-14,Z001,Z001_2,15466
2020-01-15,Z001,Z001_3,15806
2020-01-16,Z001,Z001_4,15808
2020-01-17,Z001,Z001_5,15855
2020-01-18,Z001,Z001_6,11587
2020-01-19,Z001,Z001_7,9643
2020-01-20,Z001,Z001_1,14700
2020-01-21,Z001,Z001_2,15389
2020-01-22,Z001,Z001_3,15727
2020-01-23,Z001,Z001_4,15785
2020-01-24,Z001,Z001_5,16115
2020-01-25,Z001,Z001_6,11755
2020-01-26,Z001,Z001_7,9463
2020-01-27,Z001,Z001_1,14614
2020-01-28,Z001,Z001_2,15623
2020-01-29,Z001,Z001_3,15531
2020-01-30,Z001,Z001_4,15867
2020-01-31,Z001,Z001_5,16255
2020-02-01,Z001,Z001_6,12427
2020-02-02,Z001,Z001_7,9532
2020-02-03,Z001,Z001_1,14801
2020-02-04,Z001,Z001_2,15220
2020-02-05,Z001,Z001_3,15983
2020-02-06,Z001,Z001_4,16239
2020-02-07,Z001,Z001_5,16337
2020-02-08,Z001,Z001_6,11400
2020-02-09,Z001,Z001_7,9784
2020-02-10,Z001,Z001_1,12835
2020-02-11,Z001,Z001_2,13738
2020-02-12,Z001,Z001_3,14266
2020-02-13,Z001,Z001_4,14134
2020-02-14,Z001,Z001_5,14509
2020-02-15,Z001,Z001_6,10984
2020-02-16,Z001,Z001_7,9201
2020-02-17,Z001,Z001_1,12819
2020-02-18,Z001,Z001_2,14129
2020-02-19,Z001,Z001_3,14069
2020-02-20,Z001,Z001_4,14642
2020-02-21,Z001,Z001_5,14401
2020-02-22,Z001,Z001_6,12005
2020-02-23,Z001,Z001_7,9821
2020-02-24,Z001,Z001_1,15024
2020-02-25,Z001,Z001_2,15731
2020-02-26,Z001,Z001_3,15407
2020-02-27,Z001,Z001_4,15764
2020-02-28,Z001,Z001_5,16675
2020-02-29,Z001,Z001_6,12271
2020-03-01,Z001,Z001_7,11233
2020-03-02,Z001,Z001_1,15075
2020-03-03,Z001,Z001_2,15887
2020-03-04,Z001,Z001_3,16031
2020-03-05,Z001,Z001_4,15890
2020-03-06,Z001,Z001_5,15955
2020-03-07,Z001,Z001_6,11734
2020-03-08,Z001,Z001_7,10573
2020-03-09,Z001,Z001_1,15058
2020-03-10,Z001,Z001_2,15505
2020-03-11,Z001,Z001_3,16237
2020-03-12,Z001,Z001_4,15939
2020-03-13,Z001,Z001_5,16099
2020-03-14,Z001,Z001_6,10506
2020-03-15,Z001,Z001_7,10512
2020-03-16,Z001,Z001_1,14949
2020-03-17,Z001,Z001_2,12586
2020-03-18,Z001,Z001_3,12203
2020-03-19,Z001,Z001_4,11942
2020-03-20,Z001,Z001_5,11506
2020-03-21,Z001,Z001_6,6486
2020-03-22,Z001,Z001_7,5555
2020-03-23,Z001,Z001_1,10089
2020-03-24,Z001,Z001_2,11104
2020-03-25,Z001,Z001_3,10079
2020-03-26,Z001,Z001_4,10144
2020-03-27,Z001,Z001_5,10701
2020-03-28,Z001,Z001_6,8834
2020-03-29,Z001,Z001_7,5330
2020-03-30,Z001,Z001_1,9629
2020-03-31,Z001,Z001_2,10835
2020-04-01,Z001,Z001_3,10930
2020-04-02,Z001,Z001_4,11183
2020-04-03,Z001,Z001_5,11368
2020-04-04,Z001,Z001_6,8661
2020-04-05,Z001,Z001_7,8081
2020-04-06,Z001,Z001_1,11337
2020-04-07,Z001,Z001_2,11794
2020-04-08,Z001,Z001_3,12326
2020-04-09,Z001,Z001_4,12776
2020-04-10,Z001,Z001_5,8886
2020-04-11,Z001,Z001_6,10453
2020-04-12,Z001,Z001_7,8743
2020-04-13,Z001,Z001_1,8110
2020-04-14,Z001,Z001_2,11133
2020-04-15,Z001,Z001_3,11616
2020-04-16,Z001,Z001_4,12184
2020-04-17,Z001,Z001_5,13261
2020-04-18,Z001,Z001_6,10421
2020-04-19,Z001,Z001_7,9225
2020-04-20,Z001,Z001_1,11144
2020-04-21,Z001,Z001_2,11781
2020-04-22,Z001,Z001_3,13174
2020-04-23,Z001,Z001_4,13511
2020-04-24,Z001,Z001_5,13981
2020-04-25,Z001,Z001_6,11268
2020-04-26,Z001,Z001_7,9820
2020-04-27,Z001,Z001_1,13746
2020-04-28,Z001,Z001_2,13053
2020-04-29,Z001,Z001_3,13571
2020-04-30,Z001,Z001_4,13952
2020-05-01,Z001,Z001_5,8056
2020-05-02,Z001,Z001_6,9251
2020-05-03,Z001,Z001_7,9809
2020-05-04,Z001,Z001_1,13691
2020-05-05,Z001,Z001_2,12894
2020-05-06,Z001,Z001_3,14209
2020-05-07,Z001,Z001_4,15426
2020-05-08,Z001,Z001_5,16170
2020-05-09,Z001,Z001_6,14148
2020-05-10,Z001,Z001_7,12465
2020-05-11,Z001,Z001_1,14262
2020-05-12,Z001,Z001_2,15284
2020-05-13,Z001,Z001_3,15181
2020-05-14,Z001,Z001_4,15479
2020-05-15,Z001,Z001_5,16287
2020-05-16,Z001,Z001_6,13931
2020-05-17,Z001,Z001_7,13852
2020-05-18,Z001,Z001_1,16362
2020-05-19,Z001,Z001_2,18148
2020-05-20,Z001,Z001_3,18225
2020-05-21,Z001,Z001_4,15498
2020-05-22,Z001,Z001_5,16521
2020-05-23,Z001,Z001_6,10610
2020-05-24,Z001,Z001_7,11500
2020-05-25,Z001,Z001_1,16078
2020-01-01,Z002,Z002_3,6664
2020-01-02,Z002,Z002_4,7547
2020-01-03,Z002,Z002_5,9998
2020-01-04,Z002,Z002_6,8743
2020-01-05,Z002,Z002_7,8252
2020-01-06,Z002,Z002_1,12319
2020-01-07,Z002,Z002_2,12725
2020-01-08,Z002,Z002_3,13374
2020-01-09,Z002,Z002_4,15194
2020-01-10,Z002,Z002_5,14041
2020-01-11,Z002,Z002_6,10812
2020-01-12,Z002,Z002_7,9002
2020-01-13,Z002,Z002_1,13363
2020-01-14,Z002,Z002_2,14091
2020-01-15,Z002,Z002_3,14307
2020-01-16,Z002,Z002_4,14175
2020-01-17,Z002,Z002_5,14595
2020-01-18,Z002,Z002_6,10696
2020-01-19,Z002,Z002_7,8784
2020-01-20,Z002,Z002_1,13597
2020-01-21,Z002,Z002_2,14229
2020-01-22,Z002,Z002_3,14548
2020-01-23,Z002,Z002_4,14360
2020-01-24,Z002,Z002_5,14924
2020-01-25,Z002,Z002_6,11182
2020-01-26,Z002,Z002_7,9082
2020-01-27,Z002,Z002_1,13406
2020-01-28,Z002,Z002_2,13906
2020-01-29,Z002,Z002_3,14186
2020-01-30,Z002,Z002_4,14251
2020-01-31,Z002,Z002_5,14776
2020-02-01,Z002,Z002_6,11199
2020-02-02,Z002,Z002_7,8226
2020-02-03,Z002,Z002_1,13391
2020-02-04,Z002,Z002_2,13686
2020-02-05,Z002,Z002_3,14097
2020-02-06,Z002,Z002_4,14196
2020-02-07,Z002,Z002_5,14624
2020-02-08,Z002,Z002_6,11285
2020-02-09,Z002,Z002_7,8544
2020-02-10,Z002,Z002_1,11504
2020-02-11,Z002,Z002_2,12786
2020-02-12,Z002,Z002_3,13237
2020-02-13,Z002,Z002_4,13415
2020-02-14,Z002,Z002_5,13891
2020-02-15,Z002,Z002_6,10151
2020-02-16,Z002,Z002_7,8214
2020-02-17,Z002,Z002_1,12119
2020-02-18,Z002,Z002_2,12872
2020-02-19,Z002,Z002_3,12846
2020-02-20,Z002,Z002_4,13040
2020-02-21,Z002,Z002_5,13302
2020-02-22,Z002,Z002_6,10397
2020-02-23,Z002,Z002_7,8213
2020-02-24,Z002,Z002_1,13202
2020-02-25,Z002,Z002_2,14008
2020-02-26,Z002,Z002_3,13753
2020-02-27,Z002,Z002_4,13823
2020-02-28,Z002,Z002_5,15130
2020-02-29,Z002,Z002_6,10907
2020-03-01,Z002,Z002_7,9620
2020-03-02,Z002,Z002_1,13393
2020-03-03,Z002,Z002_2,14469
2020-03-04,Z002,Z002_3,14322
2020-03-05,Z002,Z002_4,14023
2020-03-06,Z002,Z002_5,14571
2020-03-07,Z002,Z002_6,10561
2020-03-08,Z002,Z002_7,8915
2020-03-09,Z002,Z002_1,13345
2020-03-10,Z002,Z002_2,13979
2020-03-11,Z002,Z002_3,14279
2020-03-12,Z002,Z002_4,14004
2020-03-13,Z002,Z002_5,14544
2020-03-14,Z002,Z002_6,9831
2020-03-15,Z002,Z002_7,7622
2020-03-16,Z002,Z002_1,12512
2020-03-17,Z002,Z002_2,11023
2020-03-18,Z002,Z002_3,10455
2020-03-19,Z002,Z002_4,10370
2020-03-20,Z002,Z002_5,10245
2020-03-21,Z002,Z002_6,6155
2020-03-22,Z002,Z002_7,4480
2020-03-23,Z002,Z002_1,9127
2020-03-24,Z002,Z002_2,9687
2020-03-25,Z002,Z002_3,9496
2020-03-26,Z002,Z002_4,9371
2020-03-27,Z002,Z002_5,9868
2020-03-28,Z002,Z002_6,7086
2020-03-29,Z002,Z002_7,4457
2020-03-30,Z002,Z002_1,8840
2020-03-31,Z002,Z002_2,9642
2020-04-01,Z002,Z002_3,9671
2020-04-02,Z002,Z002_4,9781
2020-04-03,Z002,Z002_5,10510
2020-04-04,Z002,Z002_6,7039
2020-04-05,Z002,Z002_7,5338
2020-04-06,Z002,Z002_1,9605
2020-04-07,Z002,Z002_2,9867
2020-04-08,Z002,Z002_3,11517
2020-04-09,Z002,Z002_4,11299
2020-04-10,Z002,Z002_5,6501
2020-04-11,Z002,Z002_6,9512
2020-04-12,Z002,Z002_7,8996
2020-04-13,Z002,Z002_1,10751
2020-04-14,Z002,Z002_2,9723
2020-04-15,Z002,Z002_3,14982
2020-04-16,Z002,Z002_4,12537
2020-04-17,Z002,Z002_5,16128
2020-04-18,Z002,Z002_6,11350
2020-04-19,Z002,Z002_7,8698
2020-04-20,Z002,Z002_1,13990
2020-04-21,Z002,Z002_2,15325
