id,value
Z001_1,14614
Z001_2,15389
Z001_3,15727
Z001_4,15808
Z001_5,15855
Z001_6,11587
Z001_7,9532
Z002_1,13391
Z002_2,13906
Z002_3,14186
Z002_4,14251
Z002_5,14595
Z002_6,10812
Z002_7,8784
Z003_1,9652
Z003_2,9835
Z003_3,10077
Z003_4,10120
Z003_5,10089
Z003_6,7632
Z003_7,5865
Z004_1,11095
Z004_2,11789
Z004_3,11714
Z004_4,11868
Z004_5,11797
Z004_6,8584
Z004_7,7055
Z005_1,8382
Z005_2,8533
Z005_3,9055
Z005_4,8865
Z005_5,8746
Z005_6,5506
Z005_7,4148
Z006_1,13048
Z006_2,13249
Z006_3,13361
Z006_4,13382
Z006_5,14175
Z006_6,12936
Z006_7,8791
Z007_1,15608
Z007_2,15972
Z007_3,16437
Z007_4,16199
Z007_5,16740
Z007_6,11927
Z007_7,7870
Z008_1,12195
Z008_2,12709
Z008_3,13108
Z008_4,12892
Z008_5,13320
Z008_6,10027
Z008_7,7637
Z009_1,13836
Z009_2,14185
Z009_3,14556
Z009_4,14492
Z009_5,14697
Z009_6,9933
Z009_7,7140
Z010_1,23222
Z010_2,24021
Z010_3,24473
Z010_4,24413
Z010_5,25111
Z010_6,21116
Z010_7,16404
Z011_1,17198
Z011_2,17509
Z011_3,17686
Z011_4,17788
Z011_5,18832
Z011_6,16162
Z011_7,12623
Z012_1,15481
Z012_2,15865
Z012_3,15975
Z012_4,15983
Z012_5,16393
Z012_6,12765
Z012_7,10324
Z013_1,14887
Z013_2,15446
Z013_3,15691
Z013_4,16109
Z013_5,15882
Z013_6,12009
Z013_7,9018
Z014_1,9116
Z014_2,9344
Z014_3,9626
Z014_4,9633
Z014_5,9407
Z014_6,7113
Z014_7,4964
Z015_1,15727
Z015_2,15604
Z015_3,16210
Z015_4,15984
Z015_5,16801
Z015_6,18184
Z015_7,5410
Z016_1,26041
Z016_2,26301
Z016_3,26773
Z016_4,27033
Z016_5,27940
Z016_6,24761
Z016_7,14181
Z017_1,7485
Z017_2,7732
Z017_3,7929
Z017_4,7909
Z017_5,8194
Z017_6,6975
Z017_7,5565
Z018_1,12344
Z018_2,12551
Z018_3,13355
Z018_4,13356
